Sample ID,Island,Latitude (degrees N),Longitude (degrees E),Rock name,Al2O3 (percent),Cr (ppm),Rb (ppm)
s_GM92-136 [973],KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT RABOUILLERE,-48.55,68.50,"BASALT, TRANSITIONAL [973]",13.18,17.00,39.00
s_114954 [14545],CAPE VERDE ISLANDS / SANTIAGO / MONTE DAS VACAS FORMATION,14.97,-23.54,NOT GIVEN [14545],15.33,17.00,60.00
s_K [24464],CAMEROON LINE / BIOKO,3.40,8.70,HAWAIITE [24464],16.60,17.00,69.00
s_97 [847],KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT ROSS,-49.58,69.50,"TRACHYANDESITE, BASALTIC [847]",18.51,17.00,71.20
s_ASM218 [643] / s_ASM-218 [6863],AZORES / SAO MIGUEL / AGUA DE PAO / FOGO A ERUPTION,37.80,-25.50,"TRACHYTE, ALKALINE [643] / TRACHYTE [6863]",17.80,17.00,152.40
s_H61 [9565],ICELAND / ICELAND / ELDGJA,63.57,-18.45,"BASALT, TRANSITIONAL [9565]",13.20,18.00,16.40
s_F253872 [947],CANARY ISLANDS / GRAN CANARIA / FATAGA FORMATION / POST-SHIELD STAGE,28.00,-15.60,NEPHELINITE [947],13.98,18.00,19.51
s_MF 4 [9503],MADEIRA ARCHIPELAGO / MADEIRA,32.65,-16.96,BASALT [9503],16.70,18.00,25.20
s_02AMK-6 [14053],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE,19.95,-155.50,BASALT [14053],16.92,18.00,32.80
s_RP13 [1230],MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE,-21.23,55.60,BASALT [1230],15.15,18.00,34.60
s_NK156 [7516],MARQUESAS / NUKU HIVA / TAIOHAE / INNER VOLCANO,-8.93,-140.00,HAWAIITE [7516],15.82,18.00,47.50
s_ARC195 [1008],KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT BERLIOZ,-48.55,68.50,NOT GIVEN [1008],14.27,18.00,63.30
T120,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA,-37.12,-12.28,basalt?,15.35,18.00,64.00
s_AZF-03-30 [16224],AZORES / FAIAL,38.85,-28.70,"BASALT, ALKALINE [16224] / NOT GIVEN [21396]",19.68,18.51,22.78
s_IC-186 [2260],ICELAND / ICELAND / ASKJA,65.07,-16.83,BASALT [2260],13.07,18.93,8.15
s_RP29 [1230],MASCARENE ISLANDS INCL. REUNION / REUNION / PITON DE LA FOURNAISE,-21.23,55.60,BASALT [1230],14.18,19.00,13.60
s_NA23 [6897],AMSTERDAM-ST. PAUL / AMSTERDAM ISLAND,-37.83,77.55,BASALT [6897],14.72,19.00,14.30
s_249 DS-1 [12941],AZORES / GRACIOSA,39.11,-28.18,TRACHYBASALT [12941],14.73,19.00,26.00
s_OR267 [4594] / s_OR-267 [14498],ICELAND / ICELAND / ÷RAEFAJ÷KULL,64.03,-16.68,HAWAIITE [4594] / NOT GIVEN [14498],14.31,19.00,28.00
s_717 [1634],KERGUELEN / KERGUELEN ARCHIPELAGO,-48.55,68.50,TRACHYBASALT [1634],15.58,19.00,41.80
s_109545 [8504],CAPE VERDE ISLANDS / SAO ANTAO / INTERMEDIATE VOLCANICS (SAO ANTAO),17.00,-25.00,BASANITE [8504],16.52,19.00,44.00
s_86KA4 [336] / s_86KA-4 [19774],HAWAIIAN ISLANDS / KAUAI / KAUAI / POST-SHIELD STAGE / MAKAWELI FORMATION,22.01,-159.61,MUGEARITE [336] / NOT GIVEN [19774],18.50,19.00,45.43
s_109962 [8504],CAPE VERDE ISLANDS / SAO ANTAO / OLDER VOLCANICS (SAO ANTAO),17.00,-25.00,BASANITE [8504],16.20,19.00,58.00
s_MPC99-57 [11073],KERGUELEN / KERGUELEN ARCHIPELAGO / VAL GABBRO PLUTONIC SUITE,-49.72,70.08,NOT GIVEN [11073],16.25,19.00,169.00
s_93-414 [5174],KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT DE LA TOURMENTE,-49.50,70.50,"BASALT, TRANSITIONAL [5174] / BASALT [5176]",13.57,20.00,15.90
s_MA-208 [3348],MADEIRA ARCHIPELAGO / MADEIRA,32.73,-17.05,"BASALT, ALKALINE [3348]",17.25,20.00,20.20
s_GRZF8 [18928],AZORES / GRACIOSA / SERRA DAS FONTES,39.05,-28.05,NOT GIVEN [18928],15.57,20.00,28.00
s_14 [481],ST. HELENA CHAIN / ST. HELENA / MAIN SHIELD VOLCANO (SOUTHWESTERN VOLCANO) / SHIELD STAGE,-15.95,-5.70,"BASALT, ALKALINE [481]",17.03,20.00,44.00
s_109563 [8504],CAPE VERDE ISLANDS / SAO ANTAO / INTERMEDIATE VOLCANICS (SAO ANTAO),17.00,-25.00,BASANITE [8504],15.67,20.00,63.00
s_F14ñ14 [21239],CAPE VERDE ISLANDS / FOGO / AD 2014 ERUPTION,14.90,-24.35,TEPHRITE [21239],16.66,20.00,72.00
T529,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA,-37.12,-12.28,ol basalt,16.29,20.00,74.00
s_NK11 [7516],MARQUESAS / NUKU HIVA / TAIOHAE / INNER VOLCANO,-8.93,-140.00,MUGEARITE [7516],16.80,20.00,91.00
s_P11 [756],PITCAIRN-GAMBIER CHAIN / PITCAIRN / ADAMSTOWN FORMATION / INTRA-CALDERA STAGE,-25.07,-130.10,"BASALT, ALKALINE [756] / BASALT [23139]",15.69,20.57,29.34
